SEASON_ID,PLAYER_ID,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,PTS_L5,REB_L5,AST_L5,MIN_L5
2024-25,201143,22400604,,BOS @ GSW,W,20,1,3,0.333,1,3,0.333,0,0,0.0,2,2,4,2,0,2,0,0,3,12,1,Al Horford,5.4,5.2,1.0,21.2
2024-25,201143,22400577,,BOS vs. ORL,W,23,2,4,0.5,2,3,0.667,0,0,0.0,2,1,3,2,0,0,0,1,6,13,1,Al Horford,3.4,4.0,1.0,19.8
2024-25,201143,22400562,,BOS @ TOR,L,21,4,10,0.4,2,8,0.25,0,0,0.0,0,2,2,2,0,4,0,0,10,1,1,Al Horford,3.8,4.2,1.4,22.2
2024-25,201143,22400542,,BOS vs. NOP,W,23,4,6,0.667,3,4,0.75,0,0,0.0,1,6,7,0,0,1,0,1,11,-3,1,Al Horford,5.0,3.8,1.8,21.4
2024-25,201143,22400528,,BOS vs. SAC,L,23,1,4,0.25,0,3,0.0,0,0,0.0,1,3,4,1,0,0,0,1,2,-1,1,Al Horford,6.4,4.0,1.6,22.2
2024-25,201143,22400507,,BOS @ DEN,W,34,3,5,0.6,3,5,0.6,0,0,0.0,2,5,7,0,4,0,1,1,9,15,1,Al Horford,6.4,4.0,1.4,22.0
2024-25,201143,22400487,,BOS @ OKC,L,25,2,6,0.333,2,5,0.4,0,0,0.0,2,6,8,1,1,0,2,1,6,-1,1,Al Horford,7.6,4.6,1.0,24.8
2024-25,201143,22400464,,BOS @ MIN,W,35,4,8,0.5,1,5,0.2,0,0,0.0,3,2,5,4,0,2,0,2,9,-2,1,Al Horford,7.6,5.6,0.8,25.2
2024-25,201143,22400449,,BOS vs. TOR,W,21,0,7,0.0,0,6,0.0,0,0,0.0,0,6,6,4,2,0,0,1,0,20,1,Al Horford,7.4,6.2,1.2,28.0
2024-25,201143,22400437,,BOS vs. IND,L,31,2,12,0.167,1,10,0.1,0,0,0.0,0,5,5,3,0,0,0,5,5,-14,1,Al Horford,5.2,6.0,2.0,27.6
2024-25,201143,22400420,,BOS vs. IND,W,20,4,8,0.5,3,6,0.5,2,2,1.0,1,4,5,2,0,1,2,0,13,23,1,Al Horford,5.8,6.2,2.4,29.2
2024-25,201143,22400407,,BOS vs. PHI,L,33,6,13,0.462,5,10,0.5,0,0,0.0,0,4,4,2,0,1,0,3,17,22,1,Al Horford,6.6,5.8,2.8,26.4
2024-25,201143,22400393,,BOS @ ORL,L,35,3,10,0.3,1,5,0.2,1,2,0.5,1,5,6,2,1,0,0,0,8,2,1,Al Horford,8.8,5.0,3.0,28.0
2024-25,201143,22400381,,BOS @ CHI,W,25,3,7,0.429,1,3,0.333,1,2,0.5,1,6,7,0,1,1,2,1,8,21,1,Al Horford,8.6,5.2,2.6,28.0
2024-25,201143,22400363,,BOS vs. CHI,L,22,1,4,0.25,0,2,0.0,0,0,0.0,3,2,5,2,0,2,0,2,2,-4,1,Al Horford,10.2,5.4,1.8,28.8
2024-25,201143,22401205,,BOS vs. DET,W,20,1,3,0.333,0,2,0.0,0,0,0.0,0,6,6,1,0,0,0,1,2,6,1,Al Horford,9.6,5.4,1.6,27.0
2024-25,201143,22400335,,BOS vs. MIL,W,36,3,8,0.375,2,7,0.286,0,0,0.0,0,9,9,3,0,2,2,3,8,4,1,Al Horford,7.4,5.6,1.4,27.0
2024-25,201143,22400319,,BOS vs. DET,W,30,5,7,0.714,4,6,0.667,0,0,0.0,0,4,4,3,1,1,3,3,14,4,1,Al Horford,5.6,6.6,1.6,27.6
2024-25,201143,22400307,,BOS @ CLE,L,30,3,10,0.3,2,9,0.222,0,0,0.0,2,3,5,1,1,1,0,1,8,6,1,Al Horford,6.8,6.2,1.8,26.6
2024-25,201143,22400047,,BOS @ CHI,W,25,1,6,0.167,0,3,0.0,0,0,0.0,0,1,1,3,0,0,0,2,2,-4,1,Al Horford,6.8,5.8,2.0,27.6
2024-25,201143,22400271,,BOS vs. MIN,W,34,3,10,0.3,2,9,0.222,0,0,0.0,0,4,4,4,0,2,1,3,8,3,1,Al Horford,6.8,5.0,2.2,28.2
2024-25,201143,22400021,,BOS vs. CLE,W,32,7,11,0.636,4,5,0.8,2,2,1.0,2,5,7,1,0,3,0,3,20,18,1,Al Horford,8.0,4.6,2.8,31.0
2024-25,201143,22400230,,BOS vs. TOR,W,32,6,11,0.545,5,10,0.5,1,1,1.0,2,2,4,2,1,1,2,1,18,-7,1,Al Horford,10.4,4.2,2.4,30.2
2024-25,201143,22400001,,BOS vs. ATL,L,26,3,5,0.6,2,4,0.5,0,0,0.0,0,4,4,2,0,0,1,1,8,3,1,Al Horford,11.2,4.2,2.2,30.6
2024-25,201143,22400202,,BOS @ MIL,W,32,3,7,0.429,2,6,0.333,1,1,1.0,0,7,7,4,0,1,2,1,9,8,1,Al Horford,11.2,4.0,2.4,29.8
2024-25,201143,22400187,,BOS vs. BKN,W,31,5,12,0.417,3,9,0.333,0,0,0.0,1,9,10,0,1,1,1,2,13,-2,1,Al Horford,12.6,5.2,2.6,31.2
2024-25,201143,22400172,,BOS vs. GSW,L,30,4,9,0.444,2,6,0.333,0,0,0.0,2,5,7,3,2,0,3,1,10,-11,1,Al Horford,13.6,6.4,1.8,30.6
